Image,Asymmetry,Border Irregularity,Color Variation,Diameter
segmented_images\ISIC_0024306.jpg,0.0,1.2797399470439474,207.096022002551,251.61969911302322
segmented_images\ISIC_0024307.jpg,0.0,1.2879259081817962,212.38141741071428,251.61210873702825
segmented_images\ISIC_0024308.jpg,0.0,1.2732395447351625,184.08930564413265,251.6285542622993
segmented_images\ISIC_0024309.jpg,0.0,1.2814042354104387,205.850904815051,251.620964153428
segmented_images\ISIC_0024310.jpg,0.0,0.0,218.54601801658163,0.0
segmented_images\ISIC_0024311.jpg,0.0,1.2732395447351625,198.06511080994898,251.6285542622993
segmented_images\ISIC_0024312.jpg,0.0,33.74818932409664,190.95015545280611,2.111004122822376
segmented_images\ISIC_0024313.jpg,0.0,1.2805504071746978,243.69230309311223,251.6083134631625
segmented_images\ISIC_0024314.jpg,0.0,0.0,241.959303252551,0.0
segmented_images\ISIC_0024315.jpg,0.0,0.0,228.82712850765304,0.0
segmented_images\ISIC_0024316.jpg,0.0,1.2732395447351625,167.29801100127548,251.6285542622993
segmented_images\ISIC_0024317.jpg,0.0,1.2732395447351625,182.56467235331633,251.6285542622993
segmented_images\ISIC_0024318.jpg,0.0,1.2732395447351625,183.01189811862244,251.6285542622993
segmented_images\ISIC_0024319.jpg,0.0,1.2732395447351625,215.58314732142856,251.6285542622993
segmented_images\ISIC_0024320.jpg,0.0,1.8552459484049375,186.64560746173467,0.7978845608028654
segmented_images\ISIC_0024321.jpg,0.0,1.3085598228728053,218.54093590561223,251.58807103561
segmented_images\ISIC_0024322.jpg,0.0,0.0,181.36021205357142,0.0
segmented_images\ISIC_0024323.jpg,0.0,0.0,169.17330994897958,0.0
segmented_images\ISIC_0024324.jpg,0.0,1.2732395447351625,233.29938616071428,251.6285542622993
segmented_images\ISIC_0024325.jpg,0.0,1.2732395447351625,195.49356265943877,251.6285542622993
segmented_images\ISIC_0024326.jpg,0.0,1.2732395447351625,240.28728874362244,251.6285542622993
segmented_images\ISIC_0024327.jpg,0.0,1.2732395447351625,197.66870615433672,251.6285542622993
segmented_images\ISIC_0024328.jpg,0.0,1.2780767235152346,172.50209263392856,251.6184340662583
segmented_images\ISIC_0024329.jpg,0.0,0.0,142.99027423469386,0.0
segmented_images\ISIC_0024330.jpg,0.0,1.3547803128910767,191.1229472257653,251.52480294953173
segmented_images\ISIC_0024331.jpg,0.0,0.0,177.49272560586732,0.0
segmented_images\ISIC_0024332.jpg,0.0,0.0,184.0130739795918,0.0
segmented_images\ISIC_0024333.jpg,0.0,0.0,174.95167012117346,0.0
segmented_images\ISIC_0024334.jpg,0.0,1.2732395447351625,191.5447624362245,251.6285542622993
segmented_images\ISIC_0024335.jpg,0.0,1.2732395447351625,245.76072225765304,251.6285542622993
segmented_images\ISIC_0024336.jpg,0.0,0.0,188.97321428571428,0.0
segmented_images\ISIC_0024337.jpg,0.0,0.0,188.11433753188774,0.0
